"id","camping","plaats","provincie","officiele_organisatie","officiele_profiel_url","campingkiezer_profiel","claim_url"
"ck3548","'t Hof Welkom","Cadzand","Zeeland","Vekabo / In het Groen","https://www.inhetgroen.nl/nl/bedrijf/732/t-hof-welkom","https://camping-kiezer.nl/camping/t-hof-welkom/","https://camping-kiezer.nl/claim-uw-camping/?profiel=t-hof-welkom"
"ck4123","'t Kalverweitje","Aagtekerke","Zeeland","Vekabo / In het Groen","https://www.inhetgroen.nl/nl/bedrijf/210/t-kalverweitje","https://camping-kiezer.nl/camping/t-kalverweitje/","https://camping-kiezer.nl/claim-uw-camping/?profiel=t-kalverweitje"
"ck0120","'t Linderhof","Mariënheem","Overijssel","Vekabo / In het Groen","https://www.inhetgroen.nl/nl/bedrijf/382/t-linderhof","https://camping-kiezer.nl/camping/t-linderhof/","https://camping-kiezer.nl/claim-uw-camping/?profiel=t-linderhof"
"ck0121","'t Loozerveld","Loozen","Overijssel","Vekabo / In het Groen","https://www.inhetgroen.nl/nl/bedrijf/163/t-loozerveld","https://camping-kiezer.nl/camping/t-loozerveld/","https://camping-kiezer.nl/claim-uw-camping/?profiel=t-loozerveld"
"ck0903","'t Oventje","Zeeland","Noord-Brabant","Vekabo / In het Groen","https://www.inhetgroen.nl/nl/bedrijf/71/t-oventje","https://camping-kiezer.nl/camping/t-oventje/","https://camping-kiezer.nl/claim-uw-camping/?profiel=t-oventje"
"ck3580","'t Tabakspad","Bergeijk","Noord-Brabant","Vekabo / In het Groen","https://www.inhetgroen.nl/nl/bedrijf/25/t-tabakspad","https://camping-kiezer.nl/camping/t-tabakspad/","https://camping-kiezer.nl/claim-uw-camping/?profiel=t-tabakspad"
"ck3594","'t Veld","Rekken","Gelderland","Vekabo / In het Groen","https://www.inhetgroen.nl/nl/bedrijf/635/minicamping-t-veld","https://camping-kiezer.nl/camping/t-veld/","https://camping-kiezer.nl/claim-uw-camping/?profiel=t-veld"
"ck3598","'t Vosje","Hellendoorn","Overijssel","Vekabo / In het Groen","https://www.inhetgroen.nl/nl/bedrijf/166/t-vosje","https://camping-kiezer.nl/camping/t-vosje/","https://camping-kiezer.nl/claim-uw-camping/?profiel=t-vosje"
"ck1014","Aagtekerke","Aagtekerke","Zeeland","Vekabo / In het Groen","https://www.inhetgroen.nl/nl/bedrijf/609/zuivelhoeve-aagtekerke","https://camping-kiezer.nl/camping/aagtekerke/","https://camping-kiezer.nl/claim-uw-camping/?profiel=aagtekerke"
"ck0160","Aan de Waterspiegel","Aagtekerke","Zeeland","Vekabo / In het Groen","https://www.inhetgroen.nl/nl/bedrijf/205/aan-de-waterspiegel","https://camping-kiezer.nl/camping/minicamping-aan-de-waterspiegel/","https://camping-kiezer.nl/claim-uw-camping/?profiel=minicamping-aan-de-waterspiegel"
"ck0765","Agro-camping Ormsby Field","Castricum","Noord-Holland","Vekabo / In het Groen","https://www.inhetgroen.nl/nl/bedrijf/320/agro-camping-ormsby-field","https://camping-kiezer.nl/camping/agro-camping-ormsby-field/","https://camping-kiezer.nl/claim-uw-camping/?profiel=agro-camping-ormsby-field"
"ck1029","Allemanshoeve","Sibculo","Overijssel","Vekabo / In het Groen","https://www.inhetgroen.nl/nl/bedrijf/168/allemanshoeve","https://camping-kiezer.nl/camping/allemanshoeve/","https://camping-kiezer.nl/claim-uw-camping/?profiel=allemanshoeve"
